"{{289, 11, 7, 3}, {1, 4, 167, 1}, {20, 168, 23, 7}, {2, 2, 16, 20}}","{{1053, 63, 2, 32}, {10, 2, 188, 20}, {22, 107, 12, 47}, {8, 11, 165, 120}}","{{370, 32, 2, 16}, {3, 0, 53, 6}, {5, 43, 6, 30}, {2, 5, 35, 26}}","{{499, 5, 0, 15}, {0, 0, 0, 9}, {0, 0, 0, 3}, {1, 1, 75, 71}}"
"{{4, 18, 1, 4}, {2, 5, 6, 10}, {1, 4, 4, 2}, {1, 60, 26, 51}}","{{197, 55, 19, 20}, {7, 23, 36, 42}, {13, 147, 7, 5}, {3, 1403, 174, 170}}","{{35, 21, 6, 15}, {1, 10, 17, 22}, {4, 35, 1, 3}, {2, 283, 159, 64}}","{{55, 17, 10, 8}, {1, 3, 7, 13}, {1, 51, 2, 3}, {0, 465, 49, 33}}"
"{{942, 1, 4, 1}, {2, 19, 8, 18}, {12, 3, 4, 3}, {5, 1, 7, 3}}","{{1185, 29, 5, 15}, {4, 135, 210, 70}, {116, 19, 21, 4}, {142, 16, 51, 6}}","{{84, 16, 3, 1}, {0, 103, 84, 17}, {89, 8, 6, 2}, {80, 9, 22, 2}}","{{0, 20, 2, 2}, {0, 34, 106, 6}, {20, 6, 16, 2}, {91, 15, 7, 2}}"
"{{1340, 164, 269, 143}, {20, 27, 195, 29}, {41, 8, 5, 50}, {12, 4, 73, 10}}","{{803, 108, 81, 86}, {13, 13, 92, 9}, {15, 5, 3, 29}, {3, 1, 26, 3}}","{{68, 19, 58, 8}, {3, 7, 31, 3}, {10, 0, 3, 8}, {4, 1, 12, 1}}","{{0, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}}"
"{{2, 47, 3, 289}, {4, 32, 216, 28}, {40, 56, 9, 12}, {3, 58, 4, 8}}","{{16, 1253, 178, 83}, {133, 10, 76, 9}, {22, 29, 3, 7}, {3, 49, 6, 5}}","{{9, 690, 74, 36}, {74, 5, 26, 4}, {4, 2, 1, 0}, {0, 4, 1, 1}}","{{9, 221, 36, 0}, {26, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}}"
"{{34, 206, 4, 20}, {1, 9, 10, 2}, {10, 6, 3, 40}, {1, 29, 2, 15}}","{{168, 1375, 86, 136}, {22, 2, 4, 68}, {3, 0, 322, 1}, {220, 8, 44, 2}}","{{72, 498, 20, 69}, {9, 0, 0, 17}, {0, 0, 48, 6}, {52, 4, 15, 2}}","{{17, 132, 1, 12}, {4, 0, 0, 0}, {0, 0, 35, 0}, {45, 0, 5, 0}}"
"{{35, 4, 2, 55}, {1, 3, 2, 4}, {4, 1, 2, 1}, {5, 31, 1, 36}}","{{1179, 311, 234, 10}, {9, 65, 7, 11}, {170, 76, 137, 23}, {6, 10, 3, 10}}","{{879, 74, 72, 1}, {4, 19, 4, 3}, {108, 31, 84, 10}, {0, 0, 2, 1}}","{{118, 19, 10, 0}, {0, 0, 0, 1}, {9, 3, 14, 2}, {0, 0, 0, 0}}"
"{{6, 46, 4, 183}, {12, 3, 22, 11}, {118, 18, 26, 3}, {4, 2, 5, 5}}","{{28, 471, 54, 191}, {92, 40, 19, 0}, {162, 19, 33, 11}, {83, 9, 13, 1}}","{{2, 1530, 205, 34}, {7, 173, 6, 0}, {38, 4, 7, 0}, {0, 2, 1, 0}}","{{0, 164, 28, 0}, {0, 21, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}}"
"{{104, 19, 60, 132}, {29, 54, 12, 17}, {10, 11, 2, 16}, {3, 6, 2, 24}}","{{179, 544, 217, 247}, {74, 170, 20, 25}, {1, 28, 11, 63}, {9, 13, 3, 38}}","{{35, 1486, 14, 29}, {8, 13, 4, 5}, {0, 2, 1, 8}, {1, 0, 1, 4}}","{{0, 162, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}}"
"{{11, 20, 4, 4}, {134, 6, 94, 33}, {5, 12, 2, 105}, {19, 29, 5, 3}}","{{36, 21, 10, 2}, {346, 85, 299, 66}, {65, 22, 8, 198}, {42, 48, 7, 15}}","{{0, 0, 0, 0}, {1706, 186, 15, 12}, {157, 2, 1, 15}, {5, 10, 1, 1}}","{{0, 0, 0, 0}, {25, 14, 0, 0}, {10, 0, 0, 0}, {0, 0, 0, 0}}"
